full_id,supervised assignments
2006_SKT_0320,FWR
2006_SKT_0322,MIG
2006_SKT_0323,MIG
2006_SKT_0324,MIG
2006_SKT_0326,FWR
2006_SKT_0328,BWR
2006_SKT_0329,MIG
2006_SKT_0331,FWR
2006_SKT_0332,FWR
2006_SKT_0333,FWR
2006_SKT_0336,FWR
2006_SKT_0337,MIG
2006_SKT_0338,MIG
2006_SKT_0339,MIG
2006_SKT_0340,MIG
2006_SKT_0342,FWR
2006_SKT_0346,FWR
2006_SKT_0347,MIG
2006_SKT_0348,MIG
2006_SKT_0350,FWR
2006_SKT_0351,FWR
2006_SKT_0352,MIG
2006_SKT_0355,FWR
2006_SKT_0357,MIG
2006_SKT_0359,FWR
2006_SKT_0361,FWR
2006_SKT_0362,MIG
2006_SKT_0364,MIG
2006_SKT_0365,MIG
2006_SKT_0368,MIG
2006_SKT_0369,FWR
2007_SKT_0001,MIG
2007_SKT_0002,MIG
2007_SKT_0003,BWR
2007_SKT_0005,MIG
2007_SKT_0006,MIG
2007_SKT_0008,MIG
2007_SKT_0012,MIG
2007_SKT_0019,BWR
2007_SKT_0021,MIG
2007_SKT_0024,MIG
2007_SKT_0025,MIG
2007_SKT_0026,MIG
2007_SKT_0027,MIG
2007_SKT_0029,MIG
2007_SKT_0034,MIG
2007_SKT_0035,MIG
2007_SKT_0038,MIG
2007_SKT_0039,MIG
2007_SKT_0041,BWR
2007_SKT_0044,BWR
2007_SKT_0046,BWR
2007_SKT_0047,MIG
2007_SKT_0049,MIG
2007_SKT_0052,BWR
2007_SKT_0054,BWR
2007_SKT_0057,MIG
2007_SKT_0059,MIG
2007_SKT_0061,MIG
2007_SKT_0064,MIG
2007_SKT_0067,MIG
2007_SKT_0069,MIG
2007_SKT_0070,BWR
2007_SKT_0074,MIG
2007_SKT_0080,MIG
2007_SKT_0083,MIG
2007_SKT_0085,MIG
2007_SKT_0088,MIG
2007_SKT_0091,MIG
2007_SKT_0092,MIG
2007_SKT_0093,MIG
2007_SKT_0100,BWR
2007_SKT_0102,MIG
2007_SKT_0103,BWR
2007_SKT_0105,MIG
2007_SKT_0107,MIG
2007_SKT_0114,BWR
2007_SKT_0117,BWR
2007_SKT_0119,BWR
2007_SKT_0124,BWR
2007_SKT_0125,MIG
2007_SKT_0131,FWR
2007_SKT_0135,MIG
2007_SKT_0138,MIG
2007_SKT_0141,MIG
2007_SKT_0143,MIG
2007_SKT_0154,MIG
2007_SKT_0156,MIG
2007_SKT_0158,MIG
2007_SKT_0159,MIG
2007_SKT_0161,MIG
2007_SKT_0162,MIG
2007_SKT_0163,MIG
2007_SKT_0164,MIG
2007_SKT_0166,MIG
2007_SKT_0168,MIG
2007_SKT_0170,MIG
2007_SKT_0171,MIG
2007_SKT_0174,MIG
2007_SKT_0175,MIG
2007_SKT_0179,MIG
2007_SKT_0183,MIG
2007_SKT_0186,MIG
2007_SKT_0190,MIG
2007_SKT_0193,MIG
2007_SKT_0195,MIG
2007_SKT_0197,MIG
2007_SKT_0198,MIG
2007_SKT_0200,MIG
2007_SKT_0201,MIG
2007_SKT_0204,MIG
