"","new_id","old_id","old_classes","aggregated_new_classes","change","new_classes"
"243","2005_SKT_0014","2005_SKT_0014","MIG","MIG",0,"FWM1"
"244","2005_SKT_0015","2005_SKT_0015","FWR","FWR",0,"FWR1"
"245","2005_SKT_0016","2005_SKT_0016","FWR","FWR",0,"FWR1"
"246","2005_SKT_0018","2005_SKT_0018","MIG","MIG",0,"FWM1"
"247","2005_SKT_0027","2005_SKT_0027","MIG","MIG",0,"FWM1"
"248","2005_SKT_0029","2005_SKT_0029","MIG","MIG",0,"FWM1"
"249","2005_SKT_0034","2005_SKT_0034","FWR","FWR",0,"FWR1"
"250","2005_SKT_0042","2005_SKT_0042","MIG","MIG",0,"FWM1"
"251","2005_SKT_0043","2005_SKT_0043","BWR","BWR",0,"BWR1"
"252","2005_SKT_0046","2005_SKT_0046","MIG","MIG",0,"FWM1"
"253","2005_SKT_0047","2005_SKT_0047","MIG","MIG",0,"FWM1"
"254","2005_SKT_0050","2005_SKT_0050","MIG","MIG",0,"FWM1"
"255","2005_SKT_0053","2005_SKT_0053","MIG","MIG",0,"FWM1"
"256","2005_SKT_0054","2005_SKT_0054","MIG","MIG",0,"FWM1"
"257","2005_SKT_0055","2005_SKT_0055","MIG","MIG",0,"FWM1"
"258","2005_SKT_0056","2005_SKT_0056","MIG","MIG",0,"FWM1"
"259","2005_SKT_0061","2005_SKT_0061","MIG","MIG",0,"FWM1"
"260","2005_SKT_0062","2005_SKT_0062","MIG","MIG",0,"FWM1"
"261","2005_SKT_0066","2005_SKT_0066","MIG","MIG",0,"FWM1"
"262","2005_SKT_0071","2005_SKT_0071","MIG","MIG",0,"FWM1"
"263","2005_SKT_0072","2005_SKT_0072","MIG","MIG",0,"FWM1"
"264","2005_SKT_0084","2005_SKT_0084","MIG","MIG",0,"FWM1"
"265","2005_SKT_0087","2005_SKT_0087","MIG","MIG",0,"FWM1"
"266","2005_SKT_0094","2005_SKT_0094","MIG","MIG",0,"FWM1"
"267","2005_SKT_0095","2005_SKT_0095","MIG","MIG",0,"FWM1"
"268","2005_SKT_0096","2005_SKT_0096","MIG","MIG",0,"FWM1"
"269","2005_SKT_0104","2005_SKT_0104","MIG","MIG",0,"FWM1"
"270","2005_SKT_0105","2005_SKT_0105","MIG","MIG",0,"FWM1"
"271","2005_SKT_0106","2005_SKT_0106","MIG","MIG",0,"FWM1"
"272","2005_SKT_0107","2005_SKT_0107","MIG","MIG",0,"FWM1"
"273","2005_SKT_0108","2005_SKT_0108","MIG","MIG",0,"FWM1"
"274","2005_SKT_0113","2005_SKT_0113","MIG","MIG",0,"FWM1"
"275","2005_SKT_0127","2005_SKT_0127","MIG","MIG",0,"FWM1"
"276","2005_SKT_0129","2005_SKT_0129","MIG","MIG",0,"FWM1"
"277","2005_SKT_0148","2005_SKT_0148","MIG","MIG",0,"FWM1"
"278","2005_SKT_0150","2005_SKT_0150","MIG","MIG",0,"FWM1"
"279","2005_SKT_0151","2005_SKT_0151","MIG","MIG",0,"FWM1"
"280","2005_SKT_0158","2005_SKT_0158","MIG","MIG",0,"FWM1"
"281","2005_SKT_0166","2005_SKT_0166","MIG","MIG",0,"FWM1"
"282","2005_SKT_0168","2005_SKT_0168","MIG","MIG",0,"FWM1"
"283","2005_SKT_0169","2005_SKT_0169","MIG","MIG",0,"FWM1"
"284","2005_SKT_0173","2005_SKT_0173","MIG","MIG",0,"FWM1"
"285","2005_SKT_0174","2005_SKT_0174","MIG","MIG",0,"FWM1"
"286","2005_SKT_0197","2005_SKT_0197","MIG","MIG",0,"FWM1"
"287","2005_SKT_0200","2005_SKT_0200","MIG","MIG",0,"FWM1"
"288","2005_SKT_0203","2005_SKT_0203","MIG","FWR",1,"FWR2"
"289","2005_SKT_0204","2005_SKT_0204","MIG","MIG",0,"FWM1"
"290","2005_SKT_0205","2005_SKT_0205","MIG","MIG",0,"FWM1"
"291","2005_SKT_0207","2005_SKT_0207","MIG","MIG",0,"FWM1"
"292","2005_SKT_0208","2005_SKT_0208","MIG","MIG",0,"FWM1"
"293","2005_SKT_0209","2005_SKT_0209","MIG","MIG",0,"FWM1"
"294","2005_SKT_0211","2005_SKT_0211","BWR","BWR",0,"BWR1"
"295","2005_SKT_0212","2005_SKT_0212","MIG","MIG",0,"FWM1"
"296","2005_SKT_0215","2005_SKT_0215","MIG","MIG",0,"FWM1"
"297","2005_SKT_0216","2005_SKT_0216","MIG","MIG",0,"FWM1"
"298","2005_SKT_0218","2005_SKT_0218","MIG","MIG",0,"FWM1"
"299","2005_SKT_0219","2005_SKT_0219","MIG","MIG",0,"FWM1"
"300","2005_SKT_0225","2005_SKT_0225","FWR","FWR",0,"FWR1"
"301","2005_SKT_0227","2005_SKT_0227","MIG","MIG",0,"FWM1"
"302","2005_SKT_0252","2005_SKT_0252","MIG","MIG",0,"FWM1"
"303","2005_SKT_0259","2005_SKT_0259","MIG","MIG",0,"FWM1"
"304","2005_SKT_0260","2005_SKT_0260","MIG","MIG",0,"FWM1"
"305","2005_SKT_0261","2005_SKT_0261","MIG","MIG",0,"FWM1"
"306","2005_SKT_0263","2005_SKT_0263","MIG","MIG",0,"FWM1"
"307","2005_SKT_0269","2005_SKT_0269","FWR","FWR",0,"FWR1"
"308","2005_SKT_0270","2005_SKT_0270","FWR","FWR",0,"FWR1"
"309","2005_SKT_0274","2005_SKT_0274","MIG","MIG",0,"FWM1"
"310","2005_SKT_0277","2005_SKT_0277","FWR","FWR",0,"FWR1"
"311","2005_SKT_0280","2005_SKT_0280","MIG","MIG",0,"FWM1"
"312","2005_SKT_0281","2005_SKT_0281","MIG","MIG",0,"FWM1"
"313","2005_SKT_0282","2005_SKT_0282","MIG","MIG",0,"FWM1"
"314","2005_SKT_0283","2005_SKT_0283","FWR","FWR",0,"FWR1"
"315","2005_SKT_0284","2005_SKT_0284","MIG","MIG",0,"FWM1"
"316","2005_SKT_0285","2005_SKT_0285","FWR","FWR",0,"FWR1"
"317","2005_SKT_0286","2005_SKT_0286","MIG","MIG",0,"FWM1"
"318","2005_SKT_0287","2005_SKT_0287","MIG","MIG",0,"FWM1"
"319","2005_SKT_0290","2005_SKT_0290","MIG","MIG",0,"FWM1"
"320","2005_SKT_0292","2005_SKT_0292","MIG","MIG",0,"FWM1"
"321","2005_SKT_0293","2005_SKT_0293","MIG","MIG",0,"FWM1"
"322","2005_SKT_0301","2005_SKT_0301","MIG","MIG",0,"FWM1"
"323","2005_SKT_0303","2005_SKT_0303","MIG","MIG",0,"FWM1"
"324","2005_SKT_0314","2005_SKT_0314","MIG","MIG",0,"FWM1"
"325","2005_SKT_0315","2005_SKT_0315","MIG","MIG",0,"FWM1"
"326","2005_SKT_0318","2005_SKT_0318","MIG","MIG",0,"FWM1"
"327","2005_SKT_0319","2005_SKT_0319","MIG","MIG",0,"FWM1"
"328","2005_SKT_0320","2005_SKT_0320","FWR","FWR",0,"FWR2"
"329","2005_SKT_0323","2005_SKT_0323","MIG","MIG",0,"FWM1"
"330","2005_SKT_0324","2005_SKT_0324","MIG","MIG",0,"FWM1"
"331","2005_SKT_0328","2005_SKT_0328","MIG","MIG",0,"FWM1"
"332","2005_SKT_0329","2005_SKT_0329","MIG","MIG",0,"FWM1"
"333","2005_SKT_0331","2005_SKT_0331","MIG","MIG",0,"FWM1"
"334","2005_SKT_0332","2005_SKT_0332","MIG","MIG",0,"FWM1"
"335","2005_SKT_0333","2005_SKT_0333","MIG","MIG",0,"FWM1"
"336","2005_SKT_0341","2005_SKT_0341","MIG","MIG",0,"FWM1"
"337","2005_SKT_0342","2005_SKT_0342","MIG","FWR",1,"FWR2"
"338","2005_SKT_0346","2005_SKT_0346","MIG","MIG",0,"FWM1"
"339","2005_SKT_0347","2005_SKT_0347","MIG","MIG",0,"FWM1"
"340","2005_SKT_0348","2005_SKT_0348","MIG","MIG",0,"FWM1"
"341","2005_SKT_0361","2005_SKT_0361","MIG","FWR",1,"FWR2"
"342","2005_SKT_0362","2005_SKT_0362","MIG","MIG",0,"FWM1"
"343","2005_SKT_0363","2005_SKT_0363","MIG","MIG",0,"FWM1"
